review_id,send_time,review_message,rating,course_id,l_email
622b5cf8-5627-4f71-823a-f8174a428555,2023-10-25 23:39:43,Review message 0,5,93d6a592-369e-493a-a857-0b15ed793d8f,user21@example.com
f8168f52-2a64-4664-bbf1-5f75f0bd800d,2023-02-26 03:47:58,Review message 1,3,ac9d8830-a105-4f17-b9a1-ab86d4c4457c,user4@example.com
3e6247ce-8c10-4008-8b89-561b021eb712,2023-04-23 01:53:38,Review message 2,2,5e50f6f2-2473-4e40-9ade-8e175591cf96,user3@example.com
94806f4a-0a91-4cc5-80e0-7947421d8828,2023-07-14 15:35:21,Review message 3,2,5e50f6f2-2473-4e40-9ade-8e175591cf96,user12@example.com
b42a9e4d-e34a-476e-9591-0e4ecc0b3c2c,2023-03-02 08:55:07,Review message 4,2,ac9d8830-a105-4f17-b9a1-ab86d4c4457c,user1@example.com
c8e84eb9-264c-4ef4-813c-7db0761e7a01,2023-08-02 08:45:20,Review message 5,3,bae1dd26-95d1-4bbf-a7c3-a7d90c31dc90,user1@example.com
b275f506-1006-4d9a-805e-cd3d99e7c62d,2023-09-29 04:33:32,Review message 6,1,4fc5a5bc-23df-4e25-9d3b-ec7dd5ca89c4,user27@example.com
4b1670a0-8da6-4e56-8149-fad002f3dccc,2023-04-06 16:48:42,Review message 7,4,20ca1871-2c58-43ab-9029-fbac5a629a65,user3@example.com
c7bc470d-7cab-432d-8973-8202e246c52d,2023-05-22 09:22:34,Review message 8,4,53d2ff11-30f9-4d8d-8ade-1298a031cd1e,user3@example.com
a0cd7cde-6534-46a6-98b6-a1b62af29155,2023-04-08 13:25:24,Review message 9,3,74a234cb-f399-4419-ab49-440cccf8f93d,user12@example.com
799bfcae-38c4-4f17-b2c8-e2dc6ab687bc,2023-09-28 10:35:18,Review message 10,3,331c16dd-dbee-487e-89f7-ce1ec64152c4,user21@example.com
1e2fbe6f-d577-44c1-a636-6a6954b0afe9,2023-10-22 05:38:35,Review message 11,3,6dc39667-790a-498f-956a-aa3befa74d15,user12@example.com
e4c129ff-4739-4840-b133-29c54af17615,2023-01-18 15:16:47,Review message 12,3,f308a0c4-aa46-470c-9a02-4c273fd0f34a,user7@example.com
d006d51f-5806-4914-ade1-080a6631c5f7,2023-03-13 06:56:55,Review message 13,5,40438dc3-1765-40d5-84ff-db83fc020121,user21@example.com
78f38686-652a-428d-a2c9-12eec92aa433,2023-09-23 02:34:16,Review message 14,2,74a234cb-f399-4419-ab49-440cccf8f93d,user21@example.com
ccc89772-ce23-4fbc-ace9-b5ac0d1ea849,2023-05-15 11:01:17,Review message 15,2,331c16dd-dbee-487e-89f7-ce1ec64152c4,user4@example.com
1f3ee70e-865d-40f6-bf5e-f0387d3a7fa6,2023-11-13 02:31:02,Review message 16,1,ae9cdf61-d556-4d9a-9ee0-dc6c974ba70d,user25@example.com
0e9aae0f-2bc6-4420-8742-963be6f0f52b,2023-03-19 01:14:22,Review message 17,2,0ba7f12d-a9c0-4508-a666-7af377f80cf7,user10@example.com
a3d7aab5-f85b-4d2a-a76a-55911d62e6b6,2023-05-26 16:38:37,Review message 18,3,bae1dd26-95d1-4bbf-a7c3-a7d90c31dc90,user12@example.com
5cf83a6f-e14a-4bbb-a5b2-497af6d10f29,2023-08-19 22:16:20,Review message 19,2,ac9d8830-a105-4f17-b9a1-ab86d4c4457c,user1@example.com
2cc792c3-61a5-45b2-8b27-9cca3a12594f,2023-12-02 13:10:36,Review message 20,2,0ba7f12d-a9c0-4508-a666-7af377f80cf7,user4@example.com
271a6424-42ff-4464-9d97-ced6a48e59bb,2023-08-01 01:25:38,Review message 21,2,5f711bb2-4ba0-4370-80f0-1e85efaff7a9,user12@example.com
e8cf48b3-83da-4eaf-9d6e-941ae8538ecb,2023-01-08 04:52:31,Review message 22,5,fc0f335f-c01b-4059-94ee-b3a337093b2c,user1@example.com
31d6c5ae-b78a-494e-a44d-81333293ba3d,2023-07-19 21:35:51,Review message 23,3,20ca1871-2c58-43ab-9029-fbac5a629a65,user21@example.com
10c9739f-8c24-4716-bafd-ab35765a474f,2023-11-29 13:21:44,Review message 24,1,13185a6f-50b4-4e79-922c-fe40dec6bb1c,user27@example.com
850f735e-6b49-4e4a-bc34-34dbd4919e6d,2023-04-03 07:13:28,Review message 25,3,13185a6f-50b4-4e79-922c-fe40dec6bb1c,user1@example.com
b57eebd1-6729-4ae9-ab0f-1157a7362f14,2023-12-28 00:12:05,Review message 26,2,d8290bda-4aa9-46b4-ba6c-d83282b8016c,user10@example.com
951a40fd-814d-4755-b65f-f746693498d3,2023-11-19 13:39:13,Review message 27,4,c8a68a5f-ba86-4724-aca8-bd64d01e422f,user10@example.com
659833b5-3c53-4875-b4bb-7801bb7b9e28,2023-02-21 21:02:45,Review message 28,4,95ac66e7-028d-4d88-a4f3-55f589a79571,user7@example.com
82af2807-d8cc-43d4-971f-f5811efa5a02,2023-05-08 11:48:18,Review message 29,1,7d3cc8f9-67c2-479c-84ce-715898683f6f,user3@example.com
